timestamp,elapsed_time,ball_x,ball_y,ball_detected,target_x,target_y,error_x,error_y,error_magnitude,controller_rx,controller_ry,tilt_magnitude,loop_time_ms
16:10:12.259,3.468,-5.479,-3.166,True,0.000,0.000,-5.479,-3.166,6.328,0.000,0.000,0.000,1.026
16:10:12.279,3.488,-7.187,-3.405,True,0.000,0.000,-7.187,-3.405,7.952,0.000,0.000,0.000,0.993
16:10:12.299,3.508,-7.591,-5.378,True,0.000,0.000,-7.591,-5.378,9.303,0.000,0.000,0.000,1.031
16:10:12.320,3.529,-7.759,-6.830,True,0.000,0.000,-7.759,-6.830,10.337,0.000,0.000,0.000,1.136
16:10:12.340,3.549,-6.249,-7.813,True,0.000,0.000,-6.249,-7.813,10.005,0.000,0.000,0.000,0.947
16:10:12.359,3.569,-6.591,-8.412,True,0.000,0.000,-6.591,-8.412,10.687,0.000,0.000,0.000,0.577
16:10:12.381,3.590,-7.602,-6.965,True,0.000,0.000,-7.602,-6.965,10.310,0.000,0.000,0.000,1.176
16:10:12.401,3.610,-7.562,-7.557,True,0.000,0.000,-7.562,-7.557,10.691,0.000,0.000,0.000,0.551
16:10:12.421,3.630,-7.480,-7.964,True,0.000,0.000,-7.480,-7.964,10.926,0.000,0.000,0.000,0.950
16:10:12.441,3.650,-7.384,-8.219,True,0.000,0.000,-7.384,-8.219,11.048,0.000,0.000,0.000,0.791
16:10:12.462,3.671,-7.291,-8.356,True,0.000,0.000,-7.291,-8.356,11.089,0.000,0.000,0.000,1.128
16:10:12.481,3.691,-7.211,-8.410,True,0.000,0.000,-7.211,-8.410,11.078,0.000,0.000,0.000,0.611
16:10:12.502,3.711,-6.387,-8.410,True,0.000,0.000,-6.387,-8.410,10.560,0.000,0.000,0.000,0.837
16:10:12.522,3.731,-4.266,-8.380,True,0.000,0.000,-4.266,-8.380,9.403,0.000,0.000,0.000,0.884
16:10:12.543,3.752,-2.763,-4.820,True,0.000,0.000,-2.763,-4.820,5.556,0.000,0.000,0.000,1.354
16:10:12.563,3.772,-1.790,-2.224,True,0.000,0.000,-1.790,-2.224,2.854,0.000,0.000,0.000,1.127
16:10:12.583,3.792,-3.517,-3.998,True,0.000,0.000,-3.517,-3.998,5.325,0.000,0.000,0.000,0.948
16:10:12.603,3.812,-2.637,-1.985,True,0.000,0.000,-2.637,-1.985,3.300,0.000,0.000,0.000,0.748
16:10:12.623,3.832,-2.032,-0.605,True,0.000,0.000,-2.032,-0.605,2.120,0.000,0.000,0.000,0.667
16:10:12.644,3.853,-1.657,0.253,True,0.000,0.000,-1.657,0.253,1.676,0.000,0.000,0.000,0.986
16:10:12.664,3.873,-1.456,0.710,True,0.000,0.000,-1.456,0.710,1.620,0.000,0.000,0.000,0.615
16:10:12.684,3.894,-2.902,-2.629,True,0.000,0.000,-2.902,-2.629,3.916,0.000,0.000,0.000,1.280
16:10:12.705,3.914,-2.485,-1.669,True,0.000,0.000,-2.485,-1.669,2.994,0.000,0.000,0.000,1.217
16:10:12.725,3.934,-2.163,-0.925,True,0.000,0.000,-2.163,-0.925,2.352,0.000,0.000,0.000,0.797
16:10:12.745,3.955,-3.455,-3.907,True,0.000,0.000,-3.455,-3.907,5.216,0.000,0.000,0.000,1.308
16:10:12.766,3.975,-2.886,-6.107,True,0.000,0.000,-2.886,-6.107,6.755,0.000,0.000,0.000,1.236
16:10:12.787,3.996,-2.430,-4.965,True,0.000,0.000,-2.430,-4.965,5.528,0.000,0.000,0.000,1.731
16:10:12.807,4.017,-2.091,-3.968,True,0.000,0.000,-2.091,-3.968,4.486,0.000,0.000,0.000,1.424
16:10:12.827,4.037,-1.860,-2.293,True,0.000,0.000,-1.860,-2.293,2.953,0.000,0.000,0.000,1.329
16:10:12.848,4.057,-1.717,-1.068,True,0.000,0.000,-1.717,-1.068,2.023,0.000,0.000,0.000,1.363
16:10:12.869,4.078,-1.642,-0.245,True,0.000,0.000,-1.642,-0.245,1.660,0.000,0.000,0.000,1.524
16:10:12.889,4.098,-1.614,0.253,True,0.000,0.000,-1.614,0.253,1.633,0.000,0.000,0.000,1.491
16:10:12.909,4.118,-3.900,-3.889,True,0.000,0.000,-3.900,-3.889,5.507,0.000,0.000,0.000,1.493
16:10:12.930,4.139,-3.291,-2.598,True,0.000,0.000,-3.291,-2.598,4.193,0.000,0.000,0.000,1.358
16:10:12.950,4.159,-2.764,-1.556,True,0.000,0.000,-2.764,-1.556,3.172,0.000,0.000,0.000,1.226
16:10:12.970,4.180,-2.346,0.101,True,0.000,0.000,-2.346,0.101,2.348,0.000,0.000,0.000,1.261
16:10:12.991,4.201,-2.039,-0.485,True,0.000,0.000,-2.039,-0.485,2.096,0.000,0.000,0.000,1.491
16:10:13.012,4.221,-1.832,-1.002,True,0.000,0.000,-1.832,-1.002,2.089,0.000,0.000,0.000,1.687
16:10:13.032,4.241,-1.707,-1.420,True,0.000,0.000,-1.707,-1.420,2.220,0.000,0.000,0.000,1.486
16:10:13.053,4.262,-1.642,-0.851,True,0.000,0.000,-1.642,-0.851,1.850,0.000,0.000,0.000,1.413
16:10:13.073,4.282,-2.382,-0.427,True,0.000,0.000,-2.382,-0.427,2.420,0.000,0.000,0.000,1.316
16:10:13.093,4.303,-2.177,-0.135,True,0.000,0.000,-2.177,-0.135,2.181,0.000,0.000,0.000,1.507
16:10:13.114,4.323,-2.012,0.047,True,0.000,0.000,-2.012,0.047,2.013,0.000,0.000,0.000,1.704
16:10:13.134,4.343,-1.889,0.145,True,0.000,0.000,-1.889,0.145,1.895,0.000,0.000,0.000,0.964
16:10:13.154,4.364,-3.327,-3.332,True,0.000,0.000,-3.327,-3.332,4.709,0.000,0.000,0.000,1.047
16:10:13.175,4.384,-2.856,-5.882,True,0.000,0.000,-2.856,-5.882,6.539,0.000,0.000,0.000,0.780
16:10:13.195,4.404,-4.743,-8.481,True,0.000,0.000,-4.743,-8.481,9.717,0.000,0.000,0.000,0.664
16:10:13.215,4.424,-6.092,-8.405,True,0.000,0.000,-6.092,-8.405,10.380,0.000,0.000,0.000,0.751
16:10:13.236,4.445,-7.735,-7.211,True,0.000,0.000,-7.735,-7.211,10.575,0.000,0.000,0.000,0.900
16:10:13.256,4.465,-5.755,-5.281,True,0.000,0.000,-5.755,-5.281,7.811,0.000,0.000,0.000,1.195
16:10:13.277,4.486,-4.155,-3.798,True,0.000,0.000,-4.155,-3.798,5.630,0.000,0.000,0.000,0.858
16:10:13.297,4.506,-3.723,-1.867,True,0.000,0.000,-3.723,-1.867,4.165,0.000,0.000,0.000,0.820
